,winloss,championPlayed,kills,deaths,assists
1009,1,89,3,1,10
1010,0,150,3,6,6
1011,0,30,6,6,3
1012,0,555,4,8,6
1013,0,69,5,8,5
1014,0,498,1,7,5
1015,1,121,21,2,1
1016,1,51,5,4,7
1017,1,67,6,6,3
1018,1,497,0,2,19
1019,1,61,3,5,8
1020,1,8,3,0,5
1021,1,246,6,3,2
1022,1,51,3,2,8
1023,1,120,10,1,6
1024,1,25,2,3,10
1025,0,77,4,4,3
1026,0,54,0,4,2
1027,0,498,2,5,4
1028,0,201,1,6,4
1029,0,58,2,5,4
1030,1,18,3,6,4
1031,1,245,1,3,7
1032,1,36,3,3,6
1033,1,67,4,6,2
1034,1,235,4,1,8
1035,0,523,5,3,3
1036,0,3,4,4,8
1037,0,12,1,2,13
1038,0,62,5,2,8
1039,0,122,4,4,3
1040,0,876,1,7,7
1041,0,236,4,4,5
1042,0,145,5,5,9
1043,0,150,5,5,8
1044,0,40,6,7,5
1045,1,104,14,4,9
1046,1,147,3,5,14
1047,1,43,3,4,21
1048,1,13,4,3,9
1049,1,164,4,5,7
1050,0,110,1,4,3
1051,0,236,2,3,1
1052,0,14,0,2,0
1053,0,76,3,3,3
1054,0,412,0,6,5
1055,1,266,2,1,2
1056,1,120,7,1,10
1057,1,235,3,1,7
1058,1,518,3,1,6
1059,1,43,3,2,10
1060,0,107,0,5,2
1061,0,876,1,6,1
1062,0,236,0,6,0
1063,0,497,1,4,2
1064,0,498,2,4,1
1065,1,163,7,0,4
1066,1,14,3,1,0
1067,1,12,2,1,15
1068,1,145,8,1,7
1069,1,54,5,1,3
1070,1,875,6,9,14
1071,1,141,10,16,14
1072,1,429,21,6,15
1073,1,412,3,7,28
1074,1,147,4,5,19
1075,0,14,3,13,14
1076,0,245,8,5,17
1077,0,18,7,10,16
1078,0,126,17,8,6
1079,0,876,8,8,13
1080,0,4,7,3,8
1081,0,25,1,4,6
1082,0,106,6,4,6
1083,0,222,0,4,4
1084,0,76,4,3,2
1085,1,22,5,2,3
1086,1,126,5,4,1
1087,1,104,6,6,4
1088,1,517,2,4,6
1089,1,53,0,2,9
1090,0,150,5,6,12
1091,0,56,7,9,10
1092,0,76,9,10,7
1093,0,432,1,7,15
1094,0,202,6,10,8
1095,1,14,7,7,14
1096,1,523,10,7,13
1097,1,240,11,5,11
1098,1,412,4,2,26
1099,1,30,9,7,12
1100,1,69,7,5,1
1101,1,119,7,4,4
1102,1,421,7,3,9
1103,1,57,8,0,7
1104,1,53,1,3,11
1105,0,81,2,4,7
1106,0,59,4,5,6
1107,0,68,3,5,0
1108,0,101,3,5,6
1109,0,126,3,11,0
1110,1,51,7,6,10
1111,1,60,8,6,7
1112,1,99,5,3,14
1113,1,54,0,14,9
1114,1,246,11,4,9
1115,0,517,18,6,8
1116,0,58,2,4,6
1117,0,53,3,7,7
1118,0,202,3,6,7
1119,0,64,7,8,11
1120,0,92,4,7,6
1121,0,268,5,9,10
1122,0,497,0,6,10
1123,0,498,5,7,7
1124,0,35,6,8,6
1125,1,81,12,3,8
1126,1,245,14,5,6
1127,1,98,3,4,21
1128,1,2,8,4,9
1129,1,89,0,4,14
1130,1,12,0,4,13
1131,1,18,5,1,4
1132,1,20,5,1,9
1133,1,134,10,1,6
1134,1,114,10,1,2
1135,0,9,1,6,2
1136,0,777,2,8,0
1137,0,86,2,7,0
1138,0,142,1,5,1
1139,0,222,2,4,1
1140,1,10,6,4,7
1141,1,236,8,3,4
1142,1,245,9,0,12
1143,1,12,4,5,12
