,winloss,championPlayed,kills,deaths,assists,goldEarned,inhibitorKills,turretKills,visionScore,csDiffPerMin,xpDiffPerMin,duration
5936,1,497,2,1,16,9019,0,0,98,"{'10-20': 0.15000000000000036, '0-10': 0.95, '20-30': 0.09999999999999987}","{'10-20': 28.44999999999996, '0-10': 34.3, '20-30': 136.7}",2082
5937,1,421,6,5,9,12531,0,0,50,"{'10-20': -1, '0-10': -0.10000000000000006, '20-30': -0.19999999999999996}","{'10-20': 64, '0-10': 8.599999999999994, '20-30': 205.29999999999998}",2082
5938,1,7,8,2,12,13541,0,1,31,"{'10-20': 0.9000000000000004, '0-10': 2.9, '20-30': -3.0999999999999996}","{'10-20': 62.50000000000003, '0-10': 63.39999999999998, '20-30': 41.099999999999994}",2082
5939,1,79,2,4,8,11523,0,1,21,"{'10-20': 1.7999999999999998, '0-10': -1.6000000000000005, '20-30': 3.2}","{'10-20': 33.70000000000002, '0-10': -78, '20-30': 244.7}",2082
5940,0,141,3,7,1,9043,0,0,15,"{'10-20': 0.8, '0-10': 1.2}","{'10-20': -171.20000000000002, '0-10': 176.29999999999998}",1574
5941,0,234,2,3,2,8653,0,0,20,"{'10-20': 1, '0-10': 1.5}","{'10-20': -32.60000000000002, '0-10': 60.80000000000001}",1574
5942,0,114,1,3,2,7816,0,0,14,"{'10-20': -1.6000000000000005, '0-10': 1.3000000000000003}","{'10-20': -170.99999999999997, '0-10': 38.30000000000001}",1574
5943,0,43,0,4,1,5376,0,0,43,"{'10-20': -0.3500000000000001, '0-10': 0.3500000000000001}","{'10-20': -123, '0-10': 1.3000000000000114}",1574
5944,0,74,1,1,0,8156,0,0,22,"{'10-20': -0.3500000000000001, '0-10': 0.3500000000000001}","{'10-20': -123, '0-10': 1.3000000000000114}",1574
5945,1,876,1,1,7,9231,0,0,16,"{'10-20': -0.8, '0-10': -1.2}","{'10-20': 171.20000000000002, '0-10': -176.29999999999998}",1574
5946,1,497,0,1,10,6948,0,2,43,"{'10-20': 0.3500000000000001, '0-10': -0.3500000000000001}","{'10-20': 123, '0-10': -1.3000000000000114}",1574
5947,1,150,4,3,2,10424,0,2,17,"{'10-20': 1.6000000000000005, '0-10': -1.3000000000000003}","{'10-20': 170.99999999999997, '0-10': -38.30000000000001}",1574
5948,1,61,4,2,5,9801,1,0,15,"{'10-20': -1, '0-10': -1.5}","{'10-20': 32.60000000000002, '0-10': -60.80000000000001}",1574
